time_block,date,crop,treatment,plot,SUM_Lycosid ,SUM_Poecilus,SUM_ Amara,SUM_Pterostichus,SUM_Chlaenius,SUM_Thomisidae,SUM_Opiliones,SUM_Stenolophus,SUM_Linyphiidae,SUM_Elateridae,SUM_Staphylinidae,SUM_Formicidae,SUM_Badister,SUM_Bembidion,SUM_Cincidelidae,growth_stage,date,sum_pred_plot
3,8/18/2022,Soybeans,4,202,5,0,0,6,0,0,5,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,1,203,5,0,0,9,0,0,4,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,3,204,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,4,301,1,0,0,11,0,0,7,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,3,302,2,0,1,19,0,0,5,2,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,2,303,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,1,304,3,0,0,21,0,0,1,1,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,1,401,43,0,0,9,0,0,4,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,2,402,1,0,0,18,0,0,6,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,3,403,6,0,0,19,0,0,8,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,4,404,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,3,501,1,0,0,7,0,0,7,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,2,502,92,0,0,6,0,0,13,1,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,1,503,2,1,0,14,0,0,4,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,4,504,24,0,0,6,1,0,4,1,0,0,0,0,0,0,0,R3,9/1/2022,6
